partNo,plateType,material,thickness,width,length,surfaceFinish,usage,pattern,grade,certification,description
5000017,Tread plate,Steel,4,250,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Tread plate 4mm  250mm  1500mm
5000018,Checker plate,Aluminum,3,200,500,Galvanized,Industrial,Checkered,Grade 6061,ASTM certified,Checker plate 3mm  200mm  500mm
5000019,Perforated plate,Stainless steel,2,150,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Perforated plate 2mm  150mm  1000mm
5000020,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Automotive,Diamond,Grade 6061,ISO 9001 certified,Diamond plate 2.5mm  250mm  750mm
5000021,Flat plate,Steel,4,300,1000,Galvanized,Construction,-,-,RoHS compliant,Flat plate 4mm  300mm  1000mm
5000022,Tread plate,Aluminum,2.5,200,750,Polished,Automotive,Raised,Grade 6061,ASTM certified,Tread plate 2.5mm  200mm  750mm
5000023,Checker plate,Steel,6,250,1500,Mill finish,Industrial,Checkered,-,ISO 9001 certified,Checker plate 6mm  250mm  1500mm
5000024,Perforated plate,Stainless steel,2.5,150,500,Brushed,Decorative,-,Grade 304,RoHS compliant,Perforated plate 2.5mm  150mm  500mm
5000025,Diamond plate,Aluminum,3.5,300,1000,Powder-coated,Construction,Diamond,Grade 6061,ISO 9001 certified,Diamond plate 3.5mm  300mm  1000mm
5000026,Flat plate,Brass,1.5,100,750,Polished,Decorative,-,-,ASTM certified,Flat plate 1.5mm  100mm  750mm
5000027,Tread plate,Steel,5,250,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Tread plate 5mm  250mm  1500mm
5000028,Checker plate,Aluminum,4,200,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Checker plate 4mm  200mm  500mm
5000029,Perforated plate,Stainless steel,2,150,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Perforated plate 2mm  150mm  1000mm
5000030,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Diamond plate 2.5mm  250mm  750mm
5000031,Flat plate,Brass,3.5,250,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Flat plate 3.5mm  250mm  750mm
5000032,Tread plate,Steel,1.5,250,750,Powder-coated,Decorative,Raised,Grade 6062,RoHS compliant,Tread plate 1.5mm  250mm  750mm
5000033,Checker plate,Aluminum,5,250,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Checker plate 5mm  250mm  750mm
5000034,Perforated plate,Stainless steel,4,250,750,Powder-coated,Decorative,-,Grade 11818,ASTM certified,Perforated plate 4mm  250mm  750mm
5000035,Diamond plate,Aluminum,2,250,1000,Powder-coated,Automotive,Diamond,Grade 17575,RoHS compliant,Diamond plate 2mm  250mm  1000mm
5000036,Flat plate,Brass,2.5,300,750,Polished,Industrial,-,-,ISO 9001 certified,Flat plate 2.5mm  300mm  750mm
5000037,Tread plate,Steel,3.5,200,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Tread plate 3.5mm  200mm  1500mm
5000038,Checker plate,Aluminum,1.5,250,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Checker plate 1.5mm  250mm  500mm
5000039,Perforated plate,Stainless steel,5,150,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Perforated plate 5mm  150mm  1000mm
5000040,Diamond plate,Aluminum,4,300,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Diamond plate 4mm  300mm  750mm
5000041,Flat plate,Brass,2,100,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Flat plate 2mm  100mm  750mm
5000042,Tread plate,Steel,2.5,250,750,Powder-coated,Decorative,Raised,Grade 6063,ASTM certified,Tread plate 2.5mm  250mm  750mm
5000043,Checker plate,Aluminum,3.5,200,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Checker plate 3.5mm  200mm  750mm
5000044,Perforated plate,Stainless steel,1.5,150,750,Powder-coated,Industrial,-,Grade 23332,ISO 9001 certified,Perforated plate 1.5mm  150mm  750mm
5000045,Diamond plate,Aluminum,5,250,1000,Powder-coated,Industrial,Diamond,Grade 29089,RoHS compliant,Diamond plate 5mm  250mm  1000mm
5000046,Flat plate,Brass,4,250,750,Polished,Automotive,-,-,ASTM certified,Flat plate 4mm  250mm  750mm
5000047,Tread plate,Steel,2,250,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Tread plate 2mm  250mm  1500mm
5000048,Checker plate,Aluminum,2.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Checker plate 2.5mm  250mm  500mm
5000049,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Perforated plate 3.5mm  250mm  1000mm
5000050,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Diamond plate 1.5mm  250mm  750mm
5000051,Flat plate,Brass,5,300,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Flat plate 5mm  300mm  750mm
5000052,Tread plate,Steel,4,200,750,Powder-coated,Industrial,Raised,Grade 6064,ISO 9001 certified,Tread plate 4mm  200mm  750mm
5000053,Checker plate,Aluminum,2,250,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Checker plate 2mm  250mm  750mm
5000054,Perforated plate,Stainless steel,2.5,150,750,Powder-coated,Automotive,-,Grade 34846,ASTM certified,Perforated plate 2.5mm  150mm  750mm
5000055,Diamond plate,Aluminum,3.5,300,1000,Powder-coated,Industrial,Diamond,Grade 40603,ISO 9001 certified,Diamond plate 3.5mm  300mm  1000mm
5000056,Flat plate,Brass,1.5,100,750,Polished,Decorative,-,-,RoHS compliant,Flat plate 1.5mm  100mm  750mm
5000057,Tread plate,Steel,5,250,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Tread plate 5mm  250mm  1500mm
5000058,Checker plate,Aluminum,4,200,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Checker plate 4mm  200mm  500mm
5000059,Perforated plate,Stainless steel,2,150,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Perforated plate 2mm  150mm  1000mm
5000060,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Diamond plate 2.5mm  250mm  750mm
5000061,Flat plate,Brass,3.5,250,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Flat plate 3.5mm  250mm  750mm
5000062,Tread plate,Steel,1.5,250,750,Powder-coated,Automotive,Raised,Grade 6065,ASTM certified,Tread plate 1.5mm  250mm  750mm
5000063,Checker plate,Aluminum,5,250,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Checker plate 5mm  250mm  750mm
5000064,Perforated plate,Stainless steel,4,250,750,Powder-coated,Decorative,-,Grade 46360,RoHS compliant,Perforated plate 4mm  250mm  750mm
5000065,Diamond plate,Aluminum,2,250,1000,Powder-coated,Construction,Diamond,Grade 52117,ISO 9001 certified,Diamond plate 2mm  250mm  1000mm
5000066,Flat plate,Brass,2.5,300,750,Polished,Decorative,-,-,ASTM certified,Flat plate 2.5mm  300mm  750mm
5000067,Tread plate,Steel,3.5,200,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Tread plate 3.5mm  200mm  1500mm
5000068,Checker plate,Aluminum,1.5,250,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Checker plate 1.5mm  250mm  500mm
5000069,Perforated plate,Stainless steel,5,150,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Perforated plate 5mm  150mm  1000mm
5000070,Diamond plate,Aluminum,4,300,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Diamond plate 4mm  300mm  750mm
5000071,Flat plate,Brass,2,100,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Flat plate 2mm  100mm  750mm
5000072,Tread plate,Steel,2.5,250,750,Powder-coated,Decorative,Raised,Grade 6066,RoHS compliant,Tread plate 2.5mm  250mm  750mm
5000073,Checker plate,Aluminum,3.5,200,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Checker plate 3.5mm  200mm  750mm
5000074,Perforated plate,Stainless steel,1.5,150,750,Powder-coated,Decorative,-,Grade 57874,ASTM certified,Perforated plate 1.5mm  150mm  750mm
5000075,Diamond plate,Aluminum,5,250,1000,Powder-coated,Automotive,Diamond,Grade 63631,RoHS compliant,Diamond plate 5mm  250mm  1000mm
5000076,Flat plate,Brass,4,250,750,Polished,Industrial,-,-,ISO 9001 certified,Flat plate 4mm  250mm  750mm
5000077,Tread plate,Steel,2,250,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Tread plate 2mm  250mm  1500mm
5000078,Checker plate,Aluminum,2.5,250,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Checker plate 2.5mm  250mm  500mm
5000079,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Perforated plate 3.5mm  250mm  1000mm
5000080,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Diamond plate 1.5mm  250mm  750mm
5000081,Flat plate,Brass,5,300,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Flat plate 5mm  300mm  750mm
5000082,Tread plate,Steel,4,200,750,Powder-coated,Decorative,Raised,Grade 6067,ASTM certified,Tread plate 4mm  200mm  750mm
5000083,Checker plate,Aluminum,2,250,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Checker plate 2mm  250mm  750mm
5000084,Perforated plate,Stainless steel,2.5,150,750,Powder-coated,Industrial,-,Grade 69388,ISO 9001 certified,Perforated plate 2.5mm  150mm  750mm
5000085,Diamond plate,Aluminum,3.5,300,1000,Powder-coated,Industrial,Diamond,Grade 75145,RoHS compliant,Diamond plate 3.5mm  300mm  1000mm
5000086,Flat plate,Brass,1.5,100,750,Polished,Automotive,-,-,ASTM certified,Flat plate 1.5mm  100mm  750mm
5000087,Tread plate,Steel,5,250,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Tread plate 5mm  250mm  1500mm
5000088,Checker plate,Aluminum,4,200,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Checker plate 4mm  200mm  500mm
5000089,Perforated plate,Stainless steel,2,150,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Perforated plate 2mm  150mm  1000mm
5000090,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Diamond plate 2.5mm  250mm  750mm
5000091,Flat plate,Brass,3.5,250,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Flat plate 3.5mm  250mm  750mm
5000092,Tread plate,Steel,1.5,250,750,Powder-coated,Industrial,Raised,Grade 6068,ISO 9001 certified,Tread plate 1.5mm  250mm  750mm
5000093,Checker plate,Aluminum,5,250,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Checker plate 5mm  250mm  750mm
5000094,Perforated plate,Stainless steel,4,250,750,Powder-coated,Automotive,-,Grade 80902,ASTM certified,Perforated plate 4mm  250mm  750mm
5000095,Diamond plate,Aluminum,2,250,1000,Powder-coated,Industrial,Diamond,Grade 86659,ISO 9001 certified,Diamond plate 2mm  250mm  1000mm
5000096,Flat plate,Brass,2.5,300,750,Polished,Decorative,-,-,RoHS compliant,Flat plate 2.5mm  300mm  750mm
5000097,Tread plate,Steel,3.5,200,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Tread plate 3.5mm  200mm  1500mm
5000098,Checker plate,Aluminum,1.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Checker plate 1.5mm  250mm  500mm
5000099,Perforated plate,Stainless steel,5,150,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Perforated plate 5mm  150mm  1000mm
5000100,Diamond plate,Aluminum,4,300,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Diamond plate 4mm  300mm  750mm
5000101,Flat plate,Brass,2,100,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Flat plate 2mm  100mm  750mm
5000102,Tread plate,Steel,2.5,250,750,Powder-coated,Automotive,Raised,Grade 6069,ASTM certified,Tread plate 2.5mm  250mm  750mm
5000103,Checker plate,Aluminum,3.5,200,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Checker plate 3.5mm  200mm  750mm
5000104,Perforated plate,Stainless steel,1.5,150,750,Powder-coated,Decorative,-,Grade 92416,RoHS compliant,Perforated plate 1.5mm  150mm  750mm
5000105,Diamond plate,Aluminum,5,250,1000,Powder-coated,Construction,Diamond,Grade 98173,ISO 9001 certified,Diamond plate 5mm  250mm  1000mm
5000106,Flat plate,Brass,4,250,750,Polished,Decorative,-,-,ASTM certified,Flat plate 4mm  250mm  750mm
5000107,Tread plate,Steel,2,250,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Tread plate 2mm  250mm  1500mm
5000108,Checker plate,Aluminum,2.5,250,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Checker plate 2.5mm  250mm  500mm
5000109,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Perforated plate 3.5mm  250mm  1000mm
5000110,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Diamond plate 1.5mm  250mm  750mm
5000111,Flat plate,Brass,5,300,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Flat plate 5mm  300mm  750mm
5000112,Tread plate,Steel,4,200,750,Powder-coated,Decorative,Raised,Grade 6070,RoHS compliant,Tread plate 4mm  200mm  750mm
5000113,Checker plate,Aluminum,2,250,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Checker plate 2mm  250mm  750mm
5000114,Perforated plate,Stainless steel,2.5,150,750,Powder-coated,Decorative,-,Grade 103930,ASTM certified,Perforated plate 2.5mm  150mm  750mm
5000115,Diamond plate,Aluminum,3.5,300,1000,Powder-coated,Automotive,Diamond,Grade 109687,RoHS compliant,Diamond plate 3.5mm  300mm  1000mm
5000116,Flat plate,Brass,1.5,100,750,Polished,Industrial,-,-,ISO 9001 certified,Flat plate 1.5mm  100mm  750mm
5000117,Tread plate,Steel,5,250,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Tread plate 5mm  250mm  1500mm
5000118,Checker plate,Aluminum,4,200,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Checker plate 4mm  200mm  500mm
5000119,Perforated plate,Stainless steel,2,150,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Perforated plate 2mm  150mm  1000mm
5000120,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Diamond plate 2.5mm  250mm  750mm
5000121,Flat plate,Brass,3.5,250,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Flat plate 3.5mm  250mm  750mm
5000122,Tread plate,Steel,1.5,250,750,Powder-coated,Decorative,Raised,Grade 6071,ASTM certified,Tread plate 1.5mm  250mm  750mm
5000123,Checker plate,Aluminum,5,250,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Checker plate 5mm  250mm  750mm
5000124,Perforated plate,Stainless steel,4,250,750,Powder-coated,Industrial,-,Grade 115444,ISO 9001 certified,Perforated plate 4mm  250mm  750mm
5000125,Diamond plate,Aluminum,2,250,1000,Powder-coated,Industrial,Diamond,Grade 121201,RoHS compliant,Diamond plate 2mm  250mm  1000mm
5000126,Flat plate,Brass,2.5,300,750,Polished,Automotive,-,-,ASTM certified,Flat plate 2.5mm  300mm  750mm
5000127,Tread plate,Steel,3.5,200,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Tread plate 3.5mm  200mm  1500mm
5000128,Checker plate,Aluminum,1.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Checker plate 1.5mm  250mm  500mm
5000129,Perforated plate,Stainless steel,5,150,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Perforated plate 5mm  150mm  1000mm
5000130,Diamond plate,Aluminum,4,300,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Diamond plate 4mm  300mm  750mm
5000131,Flat plate,Brass,2,100,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Flat plate 2mm  100mm  750mm
5000132,Tread plate,Steel,2.5,250,750,Powder-coated,Industrial,Raised,Grade 6072,ISO 9001 certified,Tread plate 2.5mm  250mm  750mm
5000133,Checker plate,Aluminum,3.5,200,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Checker plate 3.5mm  200mm  750mm
5000134,Perforated plate,Stainless steel,1.5,150,750,Powder-coated,Automotive,-,Grade 126958,ASTM certified,Perforated plate 1.5mm  150mm  750mm
5000135,Diamond plate,Aluminum,5,250,1000,Powder-coated,Industrial,Diamond,Grade 132715,ISO 9001 certified,Diamond plate 5mm  250mm  1000mm
5000136,Flat plate,Brass,4,250,750,Polished,Decorative,-,-,RoHS compliant,Flat plate 4mm  250mm  750mm
5000137,Tread plate,Steel,2,250,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Tread plate 2mm  250mm  1500mm
5000138,Checker plate,Aluminum,2.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Checker plate 2.5mm  250mm  500mm
5000139,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Perforated plate 3.5mm  250mm  1000mm
5000140,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Diamond plate 1.5mm  250mm  750mm
5000141,Flat plate,Brass,5,300,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Flat plate 5mm  300mm  750mm
5000142,Tread plate,Steel,4,200,750,Powder-coated,Automotive,Raised,Grade 6073,ASTM certified,Tread plate 4mm  200mm  750mm
5000143,Checker plate,Aluminum,2,250,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Checker plate 2mm  250mm  750mm
5000144,Perforated plate,Stainless steel,2.5,150,750,Powder-coated,Decorative,-,Grade 138472,RoHS compliant,Perforated plate 2.5mm  150mm  750mm
5000145,Diamond plate,Aluminum,3.5,300,1000,Powder-coated,Construction,Diamond,Grade 144229,ISO 9001 certified,Diamond plate 3.5mm  300mm  1000mm
5000146,Flat plate,Brass,1.5,100,750,Polished,Decorative,-,-,ASTM certified,Flat plate 1.5mm  100mm  750mm
5000147,Tread plate,Steel,5,250,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Tread plate 5mm  250mm  1500mm
5000148,Checker plate,Aluminum,4,200,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Checker plate 4mm  200mm  500mm
5000149,Perforated plate,Stainless steel,2,150,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Perforated plate 2mm  150mm  1000mm
5000150,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Diamond plate 2.5mm  250mm  750mm
5000151,Flat plate,Brass,3.5,250,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Flat plate 3.5mm  250mm  750mm
5000152,Tread plate,Steel,1.5,250,750,Powder-coated,Decorative,Raised,Grade 6074,RoHS compliant,Tread plate 1.5mm  250mm  750mm
5000153,Checker plate,Aluminum,5,250,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Checker plate 5mm  250mm  750mm
5000154,Perforated plate,Stainless steel,4,250,750,Powder-coated,Decorative,-,Grade 149986,ASTM certified,Perforated plate 4mm  250mm  750mm
5000155,Diamond plate,Aluminum,2,250,1000,Powder-coated,Automotive,Diamond,Grade 155743,RoHS compliant,Diamond plate 2mm  250mm  1000mm
5000156,Flat plate,Brass,2.5,300,750,Polished,Industrial,-,-,ISO 9001 certified,Flat plate 2.5mm  300mm  750mm
5000157,Tread plate,Steel,3.5,200,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Tread plate 3.5mm  200mm  1500mm
5000158,Checker plate,Aluminum,1.5,250,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Checker plate 1.5mm  250mm  500mm
5000159,Perforated plate,Stainless steel,5,150,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Perforated plate 5mm  150mm  1000mm
5000160,Diamond plate,Aluminum,4,300,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Diamond plate 4mm  300mm  750mm
5000161,Flat plate,Brass,2,100,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Flat plate 2mm  100mm  750mm
5000162,Tread plate,Steel,2.5,250,750,Powder-coated,Decorative,Raised,Grade 6075,ASTM certified,Tread plate 2.5mm  250mm  750mm
5000163,Checker plate,Aluminum,3.5,200,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Checker plate 3.5mm  200mm  750mm
5000164,Perforated plate,Stainless steel,1.5,150,750,Powder-coated,Industrial,-,Grade 161500,ISO 9001 certified,Perforated plate 1.5mm  150mm  750mm
5000165,Diamond plate,Aluminum,5,250,1000,Powder-coated,Industrial,Diamond,Grade 167257,RoHS compliant,Diamond plate 5mm  250mm  1000mm
5000166,Flat plate,Brass,4,250,750,Polished,Automotive,-,-,ASTM certified,Flat plate 4mm  250mm  750mm
5000167,Tread plate,Steel,2,250,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Tread plate 2mm  250mm  1500mm
5000168,Checker plate,Aluminum,2.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Checker plate 2.5mm  250mm  500mm
5000169,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Perforated plate 3.5mm  250mm  1000mm
5000170,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Diamond plate 1.5mm  250mm  750mm
5000171,Flat plate,Brass,5,300,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Flat plate 5mm  300mm  750mm
5000172,Tread plate,Steel,4,200,750,Powder-coated,Industrial,Raised,Grade 6076,ISO 9001 certified,Tread plate 4mm  200mm  750mm
5000173,Checker plate,Aluminum,2,250,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Checker plate 2mm  250mm  750mm
5000174,Perforated plate,Stainless steel,2.5,150,750,Powder-coated,Automotive,-,Grade 173014,ASTM certified,Perforated plate 2.5mm  150mm  750mm
5000175,Diamond plate,Aluminum,3.5,300,1000,Powder-coated,Industrial,Diamond,Grade 178771,ISO 9001 certified,Diamond plate 3.5mm  300mm  1000mm
5000176,Flat plate,Brass,1.5,100,750,Polished,Decorative,-,-,RoHS compliant,Flat plate 1.5mm  100mm  750mm
5000177,Tread plate,Steel,5,250,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Tread plate 5mm  250mm  1500mm
5000178,Checker plate,Aluminum,4,200,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Checker plate 4mm  200mm  500mm
5000179,Perforated plate,Stainless steel,2,150,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Perforated plate 2mm  150mm  1000mm
5000180,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Diamond plate 2.5mm  250mm  750mm
5000181,Flat plate,Brass,3.5,250,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Flat plate 3.5mm  250mm  750mm
5000182,Tread plate,Steel,1.5,250,750,Powder-coated,Automotive,Raised,Grade 6077,ASTM certified,Tread plate 1.5mm  250mm  750mm
5000183,Checker plate,Aluminum,5,250,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Checker plate 5mm  250mm  750mm
5000184,Perforated plate,Stainless steel,4,250,750,Powder-coated,Decorative,-,Grade 184528,RoHS compliant,Perforated plate 4mm  250mm  750mm
5000185,Diamond plate,Aluminum,2,250,1000,Powder-coated,Construction,Diamond,Grade 190285,ISO 9001 certified,Diamond plate 2mm  250mm  1000mm
5000186,Flat plate,Brass,2.5,300,750,Polished,Decorative,-,-,ASTM certified,Flat plate 2.5mm  300mm  750mm
5000187,Tread plate,Steel,3.5,200,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Tread plate 3.5mm  200mm  1500mm
5000188,Checker plate,Aluminum,1.5,250,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Checker plate 1.5mm  250mm  500mm
5000189,Perforated plate,Stainless steel,5,150,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Perforated plate 5mm  150mm  1000mm
5000190,Diamond plate,Aluminum,4,300,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Diamond plate 4mm  300mm  750mm
5000191,Flat plate,Brass,2,100,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Flat plate 2mm  100mm  750mm
5000192,Tread plate,Steel,2.5,250,750,Powder-coated,Decorative,Raised,Grade 6078,RoHS compliant,Tread plate 2.5mm  250mm  750mm
5000193,Checker plate,Aluminum,3.5,200,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Checker plate 3.5mm  200mm  750mm
5000194,Perforated plate,Stainless steel,1.5,150,750,Powder-coated,Decorative,-,Grade 196042,ASTM certified,Perforated plate 1.5mm  150mm  750mm
5000195,Diamond plate,Aluminum,5,250,1000,Powder-coated,Automotive,Diamond,Grade 201799,RoHS compliant,Diamond plate 5mm  250mm  1000mm
5000196,Flat plate,Brass,4,250,750,Polished,Industrial,-,-,ISO 9001 certified,Flat plate 4mm  250mm  750mm
